Date,SWK ,SNA ,WMT ,ADM ,GWW ,MAS ,ADP ,PCAR ,FDX ,AIG ,WBA ,VFC ,TXT ,INTC ,TGT ,MMM ,TAP ,NEE ,WFC ,DUK ,DIS ,LNC ,CI ,BAC ,AXP ,IFF ,JPM ,WMB ,HPQ ,GPC ,JNJ ,BAX ,BDX ,LLY ,MCD ,NEM ,CLX ,GIS ,CSX ,CMI ,SLB ,EMR ,SHW ,ABT ,HON ,PPG ,XEL ,PG ,IBM ,PFE ,XOM ,GD ,HAL ,F ,EXC ,PEG ,PEP ,BA ,ETR ,CL ,BMY ,UNP ,CPB ,CAT ,KR ,CVX ,KMB ,SO ,KO ,COP ,IP ,SEE ,CVS ,DE ,MRK ,NSC ,AEP ,DTE ,EIX ,MO ,HSY ,TMO ,MTB ,MKC ,TRV ,MU ,NKE ,PH ,DOV ,CNP ,NOC ,PKI ,NUE ,APD ,BALL ,HAS ,LMT ,HES ,PHM ,LOW ,^NYA
1985-10-01,0.026287086,0,0.109947195,0.090909454,0.105691503,0.073930543,0.104786552,-0.088318588,0.054131566,0.057184518,0.075676423,0.414241698,0.077418711,-0.009707891,0.036184187,0.023025954,-0.135484172,0.092896039,0.036269966,0.103586088,0.100620085,0.091184423,0.091663204,0.113879466,0.105386791,0.1550779,0.178835078,0.075221366,-0.067713069,0.00560903,0.059154768,0.016364416,-0.005889697,0.083816083,0.028902056,0.059346257,0.114906612,0.004064956,0.067357379,-0.005847618,-0.021179614,-0.007246774,0.062937817,0.026432332,-0.011267714,0.011111922,0.072329113,0.124168646,0.048435957,-0.034301274,0.060240665,-0.104129063,-0.024510106,0.050847776,0.125000144,0.08093288,0.058101362,0.011019234,0,0.126167556,0.059963814,0.054272377,0.054662796,0.003533877,0.056046759,0.057431069,-0.008162859,0.04487202,0.038017426,0.051546488,-0.043127003,-0.008063975,0.047197878,0.029930422,0.076212625,0.05504549,0.090361376,0.072301415,0.094652096,-0.009340135,0.094182676,-0.018405042,0.037499397,0.472827265,0.083026299,-0.357142907,0.009349951,-0.034351427,0.102271522,0.101942275,-0.088000267,0,0.022465706,0.050295214,-0.013392641,0.113821162,-0.034391734,0.081867786,-0.109184763,0.047058807,0.045547804
1985-11-01,0.064102315,0.099999839,0.117924878,0.090644006,0.033088021,0.09949297,0.055045949,0.056249232,0.186485909,0.110957113,0.10552709,0.085051716,0.025445501,0.117646913,0.139682452,0.085209409,0.119403164,0.004999874,0.109999992,-0.018050807,0.076086572,0.126508028,0.075107116,0.06389635,0.074176203,0.077778184,0.067524321,-0.032922102,0.185951255,0.088353604,0.061170006,0.174756894,0.118992547,0.106665633,0.19807701,0.075630563,0.083778014,-0.02784558,0.087379083,0.047058448,0.075188232,0.113138972,0.09210496,0.075576991,0.054131991,0.096153563,0.039164357,0.071362945,0.076034676,0.166667259,-0.029545314,0.100267622,0.070351999,0.179487486,0,0.075220753,0.087475129,0.07084496,0.068492432,-0.001360886,0.149779749,0.027707348,0.330001958,0.127073508,0.067797476,-0.022363801,0.123456534,0.088259062,0.1623028,0.049596363,0.081689476,0.05284512,0.121674522,0.144279036,0.11588028,0.054520864,0,0.016666627,0,0.083475751,0.093670817,0.112500174,0.128514105,-0.02076071,0.052811481,0.972222348,-0.018522266,0.138340064,0.058419814,-0.017621854,0.035087995,0.15307271,0.115493245,0.132419937,0.085972705,0.04014612,0.049315322,-0.037499925,0.21590884,0.0381045,0.090000239
1985-12-01,0.028112489,0.096495502,0.075949332,0.061223404,0.098078463,0.0662258,0.026087489,0.100592419,0.104783352,0.058676635,0.027763577,-0.01425115,-0.027295448,0.026315863,0.027180485,0.075356351,0.153333474,0.145766496,0.147417802,0.060274267,0.140151469,0.002500272,0.025948444,0.087088209,0.084399465,0.099656113,0.093372758,0.012765811,0.024390159,0.125461332,0.062074988,0.041323321,0.014315623,0.083850354,0.081939608,-0.018228583,-0.01295224,0.02731041,0.091568935,0.087163735,0.020979024,0.075689526,0.072352672,0.098392792,0.02119472,0.032167458,0.065326771,0.039106313,0.122384687,-0.044449064,0.049850267,0.005483808,0.04988838,0.074073434,0.159964559,0.041152047,0.063985321,0.069927627,0.089744521,0.100840771,0.015325337,0.065918673,-0.087759794,0.053291818,0.013227157,0.062768701,-0.018314865,0.028901844,0.024246012,-0.076191063,0.07114281,0.096524218,0.022784485,0,0.053845044,0.085141934,0.070792795,0.069738723,0.070351634,0.111634179,-0.039283269,-0.095505783,0.089634973,-0.031801986,0.033979611,-0.042253533,0.066038962,0.078458349,0.048701411,0.028732983,0.003703138,-0.028480164,0.088384491,0.03427332,0.035458167,-0.024561661,0.030272004,-0.05627694,0.028036534,0.12499995,0.048061226
1986-01-01,0.130654147,0.017910804,0.009011871,0.062501506,0.094462473,0.124223755,0.058180472,0,0.070103285,0.102626445,-0.066666516,0.171257026,0.132565967,-0.034187512,-0.008174467,0.012534945,0.040462047,0.022123546,-0.019999991,0.088339175,0.050711705,0.154612755,0.034276901,-0.044199347,0.068321748,-0.118319633,-0.010773943,-0.175045212,0.072996289,-0.030935359,0.021377459,0.021937321,0.123217111,-0.022421518,-0.012364083,0.076922349,-0.070866584,0.010224943,0.111569607,0.022569632,-0.077768046,-0.003077154,0.048022837,0.005484447,0.005347495,-0.036765005,0.036406817,-0.055555712,-0.025724187,-0.044445134,-0.061224707,0.018182015,-0.113636712,0.079741487,0.093525463,0.080594668,-0.01781173,-0.076554985,0.117647137,0,-0.06117399,-0.076566278,-0.048101727,0.089285702,-0.062662815,-0.042622683,0.100772555,-0.011235944,-0.007396464,-0.103092908,0.022167404,0.197052372,0.074257989,-0.012596502,0.011605066,0.01846108,0.079364522,0.102362662,0.063225999,0.094238014,0.021844846,0.149068192,0.025362279,0.323724104,0.16673341,0.382352765,0.194691246,0.012986339,-0.015974616,0.058035636,-0.042493256,0,0.066958996,0.117598032,-0.101214381,0.064748085,-0.061068127,-0.091708843,0.0571347,0.101448901,0.031217025
1986-02-01,0.087108435,0.120234498,0.058365701,0.01357456,-0.005952801,0.164969711,0.082329478,0.032257048,0.102119639,0.046038486,0.147619573,0.160919685,0.088636793,-0.017699542,-0.016483865,0.086657764,0.159091567,0.051947776,0.061225556,0.029221212,0.177589722,0.040540512,0.038023211,0.187861928,0.168889279,0.096427644,0.084744917,0.020619104,0.114284989,0.064846485,-0.07441804,0.11718755,-0.007221099,0.100917699,0.187891489,-0.044334475,0.138521512,0.131958064,0.070632001,0.050934155,-0.101122906,0.08950604,0.169810941,0.032668297,0.090426139,0.251909012,0.097222333,0.057662372,-0.00412528,0.154770984,0.009661273,0.098852652,-0.06666613,0.159319677,0.019737193,0.138577304,0.088028323,0.106217506,0.01052635,0.080363235,0.141699711,0.005024424,0.113827615,0.137071349,0.030640086,0.006848961,0.107692129,0.075795047,0.147541098,0.010972295,0.108433903,0.052805323,0.128509468,0.066666633,0.09446013,0.06646562,0.039215776,0.085714246,0.054054221,0.094241009,0.068883698,0.059459591,0.279152154,0.044827548,0.027855128,-0.021276501,-0.029631576,0.157052567,0.196201885,0.037974953,0.0650895,0.026469121,0.006535798,0.129824761,0.342341374,0.1418922,0.211381643,-0.04081649,0.258621178,0.227797793,0.083587386
1986-03-01,0.166665658,0.077472933,0.158088155,0.063846532,-0.001983944,0.102381213,0.037105898,0.140626356,-0.047202716,0.105424671,0.117085777,-0.003960136,0.081419986,-0.063062157,0.162034443,0.075803724,0.083332486,0.0286044,0.151535382,0.071143226,0.077199639,-0.006289285,0.064102299,-0.036496392,0.045627533,0.035830628,0.13802127,-0.050505398,0.002848914,0.108973586,0.160965358,0.01398578,0.25454691,0.251980351,0.078321223,0.036921924,0.145000264,0.072201838,0.036129076,-0.000834895,0.058332865,0.046856095,0.055394349,0.221238137,0.014167771,0.059507188,0.021097447,0.067029151,0.011652556,0.085779349,0.085870429,0.10929877,0.013920187,0.14111485,0.080094262,-0.006579394,0.110032228,0.074614892,0.093749571,0.064284866,0.072695422,0.095000263,0.076922519,0.036945749,0.121292375,0.063100147,0.061727912,0.059459154,0.093505656,-0.081395735,0.082204426,0.009404591,0.032921879,0.158334112,0.163798972,0.124868772,0.070778797,-0.026316116,0.068376446,0.124401632,0.141077662,-0.056122566,0.023951813,0.099009442,0.111110594,0.032608706,0.783787314,0.001558687,-0.096229871,0.093257553,0.104798091,0.044586261,0.09307371,-0.009317568,-0.055065955,0.133136014,0.0423975,-0.154255381,0.24657567,0.114695145,0.074450079
1986-04-01,-0.012669147,0.056234983,0.029658719,-0.109243249,0.042168655,-0.032397815,-0.024493203,0.036528615,-0.10642202,-0.112163086,0.003731909,-0.041331805,-0.085460199,0.096152591,-0.014492435,-0.004750323,0.022624842,0.040651076,0.0203388,-0.032934185,0.199532355,-0.073839456,-0.13123021,0.148784576,-0.085990869,0.102480048,-0.012200194,0.019963506,0.0296811,0.031668292,0.148148303,0.040303812,0.077322914,-0.095637742,0.032426171,-0.123737369,-0.100436395,-0.058922224,-0.094594326,-0.114006926,-0.045492332,-0.028649919,-0.013158073,0,0.007281301,0.005801613,0.039951365,-0.001698114,0.031353106,-0.014553135,0.015695533,-0.066176678,-0.0276245,-0.076335772,-0.130435441,-0.055194502,0.034938509,-0.013157799,-0.047618885,0.006711981,0.079244646,-0.051029017,-0.024553026,0.007126528,0.076719276,0.054793929,-0.033298319,-0.0816323,0.212636465,-0.012657636,-0.069105367,0.100229149,-0.013944546,-0.007086986,-0.004304175,-0.132315672,-0.067567668,-0.060026002,-0.072000292,0.0327106,0.003921589,0.221621709,0.008772242,0.208810164,-0.037883509,0.221052597,-0.110344784,-0.055710093,0.029412144,-0.072242827,-0.007595272,-0.048779844,0.011561449,-0.001566756,0.074999719,0.023498745,-0.081896419,0.037735665,-0.14167358,-0.00643171,-0.004557128
1986-05-01,0.011204698,0.09722241,0.182098318,0.072271201,0.05780393,0.061053992,0.084559189,-0.004404688,0.026694141,0.07098101,0.1189588,0.038548524,0.017021552,-0.043859745,0.117647072,0.017899863,0.066371954,-0.031250175,0.003322065,0.043343439,0.047353654,0.050093659,0.059998893,0.037383147,0.039500783,0.100575145,0.002347773,0,0.02209928,0.073445735,0.037951165,0.079999861,0.175676058,0.124304625,0.031406819,0.146973977,0.070970815,0.11797623,0.011192934,0.049632284,0.079165974,-0.012640014,0.066666555,0.077941676,-0.127710701,-0.028845883,0.020160292,0.069179224,-0.024800064,0.061181608,0.057395383,0.001302592,-0.034090916,0.075450186,0,0.064285898,0.151557528,0.035555082,0.059999681,0.069444169,0.045677413,0.046117112,0.068050681,0.044737868,0.122149764,0.038961322,0.074242481,0.005147715,0.040359003,0.089743674,0.093886594,0.043343715,0.156669472,-0.135036783,0.112391511,-0.009812899,0,0,0.034483216,0.149999822,0.113282066,0.057522347,-0.008695959,-0.059879709,0.015666122,-0.137931081,0.085273952,-0.044247054,-0.085714604,0.020491514,0.015306226,-0.093207243,0.076470966,0.006279896,0.053156296,0.010204606,0.030516889,0.048484731,-0.076923001,0.060991279,0.040557286
1986-06-01,-0.096952885,0.001071175,0.083550685,-0.035243114,-0.017597734,0.113923798,-0.040677981,0.017698675,-0.084000191,0.00487384,0.050082393,0.113537628,-0.046025384,-0.155962348,-0.01811201,0.076547962,0.049792303,0.041185445,0.009261021,0.088315212,0.164893607,-0.074397915,-0.043395921,-0.027027059,0,-0.005221815,-0.039813371,0.009274835,-0.113513281,-0.034209721,0.067544046,-0.067902031,0.013792707,0.074454058,0.118500224,-0.042156922,0.020547736,0.070967214,-0.024185776,-0.05942674,0.061775689,-0.001744798,-0.108622754,0.162162479,0.000584133,0.087144179,0.106719889,0.02889269,-0.031186555,0.145063414,0.032249793,-0.03469946,0.059233922,0.027174349,0.208191306,0.003355266,-0.003689867,0.087255663,-0.018868077,0.06918244,0.073323214,0.055683359,0.118534843,-0.082948665,0.135070605,0.021857701,0.033850169,0.073445106,0.081895309,-0.079963793,0.015353786,-0.026706326,-0.001757345,-0.037975107,0.082901148,0.052316818,0.051401753,-0.02941153,0.045832995,0.081521022,0.138119508,0.142259466,0.252249578,0.092356291,-0.534704474,-0.249999951,0.779961004,-0.01574337,0.042979282,0.035143083,0.011430257,-0.039007625,-0.169399079,-0.126365742,0.077659988,0.171717255,0.020703077,-0.075144639,0.104166519,-0.119266578,0.02247505
1986-07-01,-0.080532246,-0.072034126,-0.102844047,0.006850464,-0.125698077,-0.109848066,-0.085909623,-0.182608345,-0.05458529,0.046483474,-0.092064199,-0.006399866,-0.080616754,-0.206523057,-0.183855869,-0.024175504,-0.047430623,0.098425439,0.019933037,0.069251179,-0.11493127,-0.026005262,-0.023475141,-0.111975116,-0.034652772,-0.059660411,-0.133169521,-0.202127971,-0.038397875,0.009277324,-0.061962518,-0.028159546,0.010034861,-0.069551464,-0.124786698,-0.026666324,-0.00447425,0.042168409,-0.17557212,-0.206379113,-0.155874111,-0.079023374,-0.028169388,-0.065116452,-0.080779239,-0.095412349,0.097418704,-0.034321786,-0.095563101,-0.066433702,-0.002053676,-0.078432108,-0.191011923,-0.029478829,0.123456463,0.166996798,-0.088409884,-0.06150814,0,-0.052941322,-0.063909105,-0.08240995,-0.023121555,-0.103015848,0.033402515,-0.058631538,-0.075386701,0.036842333,0.050232679,-0.116883345,0.019880178,-0.030528242,-0.128521641,-0.224639652,0.024001295,-0.106534259,0.107982213,0.041462299,0.13163222,-0.026759461,-0.052713731,-0.069596798,-0.07379133,0.155252049,-0.080327884,-0.146666649,-0.282053225,-0.199052121,0.030120394,0.091270079,-0.105000167,-0.173431912,-0.143123912,-0.033823222,-0.058823706,-0.051724775,-0.136771378,-0.156249647,-0.332228361,-0.184027215,-0.060089754
